SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022
10,0,0,0,United States,331449520,331511512,332031554,333287557,61992,520042,1256003,894123,3582436,3688179,852024,3438423,3443099
20,1,0,0,Northeast Region,57609156,57448898,57259257,57040406,-160258,-189641,-218851,146120,572782,593222,192891,560931,564007
30,1,1,0,New England,15116206,15074473,15121745,15129548,-41733,47272,7803,35417,139206,146423,46182,143894,149549
30,1,2,0,Middle Atlantic,42492950,42374425,42137512,41910858,-118525,-236913,-226654,110703,433576,446799,146709,417037,414458
20,2,0,0,Midwest Region,68985537,68961043,68836505,68787595,-24494,-124538,-48910,190131,747700,759934,186324,761965,768572
30,2,3,0,East North Central,47368637,47338744,47181948,47097779,-29893,-156796,-84169,127378,500167,508030,133459,529543,535923
30,2,4,0,West North Central,21616900,21622299,21654557,21689816,5399,32258,35259,62753,247533,251904,52865,232422,232649
20,3,0,0,South Region,126266262,126450613,127346029,128716192,184351,895416,1370163,348206,1425940,1476296,314775,1403963,1406198
30,3,5,0,South Atlantic,66089861,66164801,66666348,67452940,74940,501547,786592,172099,699565,727568,168663,727277,738452
30,3,6,0,East South Central,19402323,19422567,19474372,19578002,20244,51805,103630,54200,222808,227806,56664,258082,258921
30,3,7,0,West South Central,40774078,40863245,41205309,41685250,89167,342064,479941,121907,503567,520922,89448,418604,408825
20,4,0,0,West Region,78588565,78650958,78589763,78743364,62393,-61195,153601,209666,836014,858727,158034,711564,704322
30,4,8,0,Mountain,24919131,24996513,25268390,25514320,77382,271877,245930,68918,276639,283386,54872,241602,249091
30,4,9,0,Pacific,53669434,53654445,53321373,53229044,-14989,-333072,-92329,140748,559375,575341,103162,469962,455231
40,3,6,1,Alabama,5024356,5031362,5049846,5074296,7006,18484,24450,13867,57112,58280,15165,69056,66870
40,4,9,2,Alaska,733378,732923,734182,733583,-455,1259,-599,2406,9461,9488,1163,5364,6396
40,4,8,4,Arizona,7151507,7179943,7264877,7359197,28436,84934,94320,18110,75384,78763,18030,80430,79329
40,3,7,5,Arkansas,3011555,3014195,3028122,3045637,2640,13927,17515,8508,35115,36251,8493,40174,40187
40,4,9,6,California,39538245,39501653,39142991,39029342,-36592,-358662,-113649,103123,412194,424652,74463,345550,318497
40,4,8,8,Colorado,5773733,5784865,5811297,5839926,11132,26432,28629,15589,62064,63086,11904,46644,49381
40,1,1,9,Connecticut,3605942,3597362,3623355,3626205,-8580,25993,2850,8465,33896,35818,11915,34649,34902
40,3,5,10,Delaware,989957,992114,1004807,1018396,2157,12693,13589,2579,10220,10744,2950,11230,11462
40,3,5,11,District of Columbia,689546,670868,668791,671803,-18678,-2077,3012,2187,8304,8096,2005,5832,5556
40,3,5,12,Florida,21538226,21589602,21828069,22244823,51376,238467,416754,50292,207964,220578,56302,250785,260794
40,3,5,13,Georgia,10711937,10729828,10788029,10912876,17891,58201,124847,29842,121391,125538,24818,109531,109357
40,4,9,15,Hawaii,1455273,1451043,1447154,1440196,-4230,-3889,-6958,3835,15518,15788,2838,12133,13328
40,4,8,16,Idaho,1839092,1849202,1904314,1939033,10110,55112,34719,5467,21872,22524,3628,17084,18838
40,2,3,17,Illinois,12812545,12786580,12686469,12582032,-25965,-100111,-104437,33454,131658,131491,35347,128282,126625
40,2,3,18,Indiana,6785668,6788799,6813532,6833037,3131,24733,19505,19443,77543,80214,19156,77603,79190
40,2,4,19,Iowa,3190372,3190571,3197689,3200517,199,7118,2828,9103,36021,36928,8074,35560,35369
40,2,4,20,Kansas,2937847,2937919,2937922,2937150,72,3,-772,8510,34281,34968,6990,32746,32960
40,3,6,21,Kentucky,4505893,4507445,4506589,4512310,1552,-856,5721,12580,51453,52496,12816,58285,60854
40,3,7,22,Louisiana,4657749,4651664,4627098,4590241,-6085,-24566,-36857,13555,57123,57152,14831,56590,55995
40,1,1,23,Maine,1362341,1363557,1377238,1385340,1216,13681,8102,2997,11580,12030,3713,16100,17973
40,3,5,24,Maryland,6177213,6173205,6174610,6164660,-4008,1405,-9950,17156,67441,69130,16908,58911,57567
40,1,1,25,Massachusetts,7029949,6995729,6989690,6981974,-34220,-6039,-7716,17112,66541,70019,22124,61675,63716
40,2,3,26,Michigan,10077325,10069577,10037504,10034113,-7748,-32073,-3391,26586,102739,105157,31049,115020,117639
40,2,4,27,Minnesota,5706504,5709852,5711471,5717184,3348,1619,5713,16461,63068,64821,12756,51473,53204
40,3,6,28,Mississippi,2961288,2958141,2949586,2940057,-3147,-8555,-9529,8503,34972,35060,9743,41379,40014
40,2,4,29,Missouri,6154920,6153998,6169823,6177957,-922,15825,8134,17238,68778,69255,16792,75425,75249
40,4,8,30,Montana,1084197,1087075,1106227,1122867,2878,19152,16640,2812,10806,11173,2527,12115,12859
40,2,4,31,Nebraska,1961489,1962642,1963554,1967923,1153,912,4369,6046,24260,24376,4472,19535,19271
40,4,8,32,Nevada,3104624,3115648,3146402,3177772,11024,30754,31370,8166,33289,33784,7016,32428,33392
40,1,1,33,New Hampshire,1377518,1378587,1387505,1395231,1069,8918,7726,2994,12107,12670,3477,13693,14700
40,1,2,34,New Jersey,9289031,9271689,9267961,9261699,-17342,-3728,-6262,24719,97795,102555,33957,84110,82804
40,4,8,35,New Mexico,2117527,2118390,2116677,2113344,863,-1713,-3333,5328,21322,20955,5509,24691,25250
40,1,2,36,New York,20201230,20108296,19857492,19677151,-92934,-250804,-180341,53083,205802,212145,72523,177143,176534
40,3,5,37,North Carolina,10439414,10449445,10565885,10698973,10031,116440,133088,28675,116827,122179,25879,115142,115720
40,2,4,38,North Dakota,779091,779518,777934,779261,427,-1584,1327,2563,10058,10164,1758,7816,7365
40,2,3,39,Ohio,11799374,11797517,11764342,11756058,-1857,-33175,-8284,32341,128220,129529,33744,146833,149072
40,3,7,40,Oklahoma,3959346,3964912,3991225,4019800,5566,26313,28575,11579,47369,48107,10380,50720,51390
40,4,9,41,Oregon,4237291,4244795,4256301,4240137,7504,11506,-16164,10280,39736,41143,9533,41956,46232
40,1,2,42,Pennsylvania,13002689,12994440,13012059,12972008,-8249,17619,-40051,32901,129979,132099,40229,155784,155120
40,1,1,44,Rhode Island,1097371,1096345,1096985,1093734,-1026,640,-3251,2546,10013,10544,3388,11348,11110
40,3,5,45,South Carolina,5118429,5131848,5193266,5282634,13419,61418,89368,13492,55591,57071,14077,65128,64531
40,2,4,46,South Dakota,886677,887799,896164,909824,1122,8365,13660,2832,11067,11392,2023,9867,9231
40,3,6,47,Tennessee,6910786,6925619,6968351,7051339,14833,42732,82988,19250,79271,81970,18940,89362,91183
40,3,7,48,Texas,29145428,29232474,29558864,30029572,87046,326390,470708,88265,363960,379412,55744,271120,261253
40,4,8,49,Utah,3271614,3283785,3339113,3380800,12171,55328,41687,11862,45745,46912,4958,22016,23363
40,1,1,50,Vermont,643085,642893,646972,647064,-192,4079,92,1303,5069,5342,1565,6429,7148
40,3,5,51,Virginia,8631384,8636471,8657365,8683619,5087,20894,26254,23580,94523,96748,19817,83281,83823
40,4,9,53,Washington,7705247,7724031,7740745,7785786,18784,16714,45041,21104,82466,84270,15165,64959,70778
40,3,5,54,West Virginia,1793755,1791420,1785526,1775156,-2335,-5894,-10370,4296,17304,17484,5907,27437,29642
40,2,3,55,Wisconsin,5893725,5896271,5880101,5892539,2546,-16170,12438,15554,60007,61639,14163,61805,63397
40,4,8,56,Wyoming,576837,577605,579483,581381,768,1878,1898,1584,6157,6189,1300,6194,6679
40,X,X,72,Puerto Rico,3285874,3281557,3262693,3221789,-4317,-18864,-40904,4545,18794,19645,7301,33341,34102
